id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
ds135,TV Show,Disney Presents Goofy in How to Stay at Home,,"Bill Farmer, Corey Burton",,2021-08-11,2021,TV-G,1,Season,"Animation, Comedy, Family","goofy’s back in a trio of all-new, hand-drawn animated shorts from walt disney animation studios.",6
ds136,TV Show,Gabby Duran And The Unsittables,,"Kylie Cantrall, Maxwell Donovan, Callan Farris, Coco Christo, Valery Ortiz, Nathan Lovejoy",United States,2021-08-11,2018,TV-G,2,Season,"Comedy, Family, Science Fiction","meet gabby duran, your average alien-babysitting girl.",11
ds137,TV Show,What If...?,,,,2021-08-11,2021,TV-14,1,Season,"Action-Adventure, Animation, Anthology",“what if…?” flips the script on the mcu by reimagining events from the films in unexpected ways.,72
ds138,Movie,Beverly Hills Chihuahua 2,Alex Zamm,"George Lopez, Odette Yustman, Miguel Ferrer, Ernie Hudson, Loretta Devine, Jon Huertas",United States,2021-08-06,2011,G,88,min,"Action-Adventure, Comedy, Family","papi and chloe, those talking chihuahuas, are back... with a few surprises.",49
ds139,Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,Lev L. Spiro,"George Lopez, Odette Annable, Ernie Hudson, Miguel Ferrer, Kay Panabaker, Tom Kenny",United States,2021-08-06,2012,G,92,min,"Comedy, Coming of Age, Family","papi plans a ""quince"" for the littlest member of his pack.",2
ds140,Movie,Killer Shark vs Killer Whale,,Edward Marcoux,,2021-08-06,2021,TV-14,44,min,"Animals & Nature, Documentary",orcas attack white sharks for their livers leaving scientists baffled.,77
ds141,Movie,Mrs. Doubtfire,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub",United States,2021-08-06,1993,PG-13,126,min,"Comedy, Drama",an eccentric dad dresses as a british nanny so he can care for his kids at the home of their mother.,7
ds142,TV Show,Cesar Millan: Better Human Better Dog,,Dustin Rubin,,2021-08-04,2021,TV-14,1,Season,"Animals & Nature, Docuseries, Family",renowned dog behaviorist cesar millan transforms dogs and pet parents.,53
ds143,TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,,,,2021-08-04,2020,PG,2,Season,"Animation, Anthology, Family",welcome to short circuit - an experimental short film program at disney animation.,45
ds144,Movie,Built for Mars: The Perseverance Rover,Mark J Davis,Steven French,,2021-07-30,2021,TV-PG,88,min,Documentary,built for mars: the perseverance rover follows the birth of the perseverance rover.,7
