id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
as516,TV Show,The New Yorker Presents,,"Rachel Aviv, Roz Chast, Paul Giamatti",,,2016,TV-MA,1,Season,Documentary,"from award-winning filmmaker alex gibney's jigsaw productions, amazon prime video presents a groundbreaking new series that brings america's most award-winning magazine, the new yorker, to the screen with documentaries, short narrative films, comedy, poetry, animation, and cartoons from the hands of acclaimed filmmakers and artists. produced by jigsaw productions and condac nast entertainment.",9
as517,TV Show,The New V.I.P.'s,,"Matt Braunger, Ben Schwartz, Missi Pyle, Kerri Kenney-Silver, Creed Bratton",,,2017,16+,1,Season,Comedy,four low level employees seize control of a major corporation after accidentally murdering the ceo. [like this pilot? go to www.amazon.com/pilotseason to take the survey.],37
as518,Movie,The New Adventures of Tarzan,Edward A. Kull,"Bruce Bennett, Ulta Holt",,,1935,NR,58,min,"Action, Adventure",the green goddess is a totem worshiped by the primitive natives of a lost city deep in the jungle of guatemala. it contains both a fortune in jewels and an ancient formula for a super-explosive which could threaten world safety.,14
as519,TV Show,The Neighbors [English Subtitled],,"Bracha van Doesburgh, Daan Schuurmans, Thijs Römer, Karina Smulders, Fedja van Huêt, Anneke Blok, Hannah van Lunteren, Leopold Witte",,,2016,TV-NR,2,Season,"Drama, Suspense","after a year eva comes out of a coma. still suffering from memory loss she returns to the suburbs, while her husband peter is locked away in an institution. after a daring prison escape steef has two priorities: finding his son and taking revenge on eva. new neighbors steffi and lex move into the neighborhood. they are unaware of last year’s drama and are preoccupied with a secret of their own.",82
as520,TV Show,The Neighbors [English Subbed] (4K UHD),,"Bracha van Doesburgh, Daan Schuurmans, Thijs Römer, Karina Smulders, Fedja van Huêt, Anneke Blok, Hannah van Lunteren, Leopold Witte",,,2016,TV-NR,1,Season,"Drama, Suspense","after a year eva comes out of a coma. still suffering from memory loss she returns to the suburbs, while her husband peter is locked away in an institution. after a daring prison escape steef has two priorities: finding his son and taking revenge on eva. new neighbors steffi and lex move into the neighborhood. they are unaware of last year’s drama and are preoccupied with a secret of their own.",14
as521,Movie,The Natural History of the Chicken,Mark Lewis,,,,2001,13+,55,min,"Documentary, Special Interest","this film delightfully reveals that this small, common and seemingly simple animal is as complex and grand as any of earth's creatures.",43
as522,TV Show,The Nativity,,"Tatiana Maslany, Andrew Buchan, Peter Capaldi, Al Weaver",,,2010,TV-PG,1,Season,TV Shows,"the greatest story ever told, as you've never seen it before. writer tony jordan transforms a classic tale with familiar characters into a gripping human drama with an all-star cast. starring tatiana maslany, andrew buchan, peter capaldi and claudie blakely.",100
as523,Movie,The Myth of Fingerprints,Bart Freundlich,"Julianne Moore, Chris Bauer, Arija Bareikis, Roy Scheider, Noah Wyle, Hope Davis, Blythe Danner, James Le Gros, Michael Vartan, Laurel Holloman, Brian Kerwin",,,1997,R,91,min,"Comedy, Drama, Romance","the adult children of a conservative new england family return home for thanksgiving weekend and find themselves forced to come to grips with their family's dysfunction. the prime difficulty comes from the fact that their parents, particularly their already taciturn and enigmatic father, are rapidly distancing themselves from their children.",94
as524,Movie,The Mystery of Chaco Canyon,Anna Sofaer,Robert Redford,,,1999,16+,56,min,"Documentary, Special Interest","the mystery of chaco canyon examines the deep enigmas presented by the massive prehistoric remains found in chaco canyon in northwestern new mexico, revealing that between 850 and 1150 ad, the chacoan people designed and constructed massive ceremonial buildings oriented in a complex celestial pattern throughout this vast desert region.",49
as525,Movie,The Mystery of Agatha Christie with David Suchet,Clare Lewins,"David Suchet, Mathew Prichard, Rosalind Christie",,,2014,G,56,min,Documentary,join david suchet on his trip to learn more about the best-selling murder mystery writer in history.,17
as526,TV Show,The Musketeers,,"Tom Burke, Santiago Cabrera, Howard Charles, Alexandra Dowling",,,2016,TV-14,3,Season,"Action, Drama","after four years at war, the musketeers return to a paris seething with violence and poverty. a seemingly indifferent king has entrusted his affairs to corrupt new governor of paris, philippe feron. ordered to the heart of this urban powder keg, the musketeers are charged with preventing catastrophe. still, they have their own battles to fight.",41
as527,TV Show,The Murder of Laci Peterson,,"Gloria Gomez, Ted Rowlands",,,2017,TV-14,1,Season,TV Shows,"laci peterson, eight months pregnant, goes missing in modesto, california, prompting a massive search and an intense police focus on her husband scott.",67
as528,Movie,The Mountains of Beyond,BRB International,,,,2007,ALL,26,min,"Drama, Kids","david and his wife lisa must go off into the mountains because it time to die. they know they will not live past 400 years old. david finishes writing his journal about the gnomes. he and lisa are visited by an arctic mouse, who is carrying a message from their old friend casper. casper does not want to make the journey alone.",36
as529,Movie,The Mothman Legacy,Seth Breedlove,"Lyle Blackburn, Amy Davies, Penny Riggs",,,2020,13+,77,min,"Documentary, Horror","many believe the mothman to be a 1960's phenomenon, an omen only appearing before tragedy, and disappearing after a flap of sightings and the subsequent silver bridge collapse in 1967. and what if...the sightings never ended?",95
as530,TV Show,The Moonstone,,"John Thomson, Sarah Hadland, Terenia Edwards, Joshua Silver, Sophie Ward, Stewart Clarke, Leo Wringer",,,2016,TV-PG,1,Season,"Drama, Suspense","a fresh adaption of english literature's first great detective novel. ""the moonstone"" centers on the theft of a cursed but priceless diamond. the charismatic franklin blake must solve the disappearance of the moonstone in order to win back the woman he loves, the beautiful, principled and independent rachel verinder.",31
as531,Movie,The Monster Squad,Fred Dekker,"Andre Gower, Duncan Regehr, Ryan Lambert, Stephen Macht, Tom Noonan",United States,,1987,PG-13,82,min,"Action, Comedy, Horror","dracula, the wolf man, the gill-man, the mummy, and the frankenstein monster are in hot pursuit of a mysterious amulet that will allow their return and only the movie-loving kids in the neighborhood monster club can stop them!",2
as532,Movie,The Monopoly On Violence,Chris Cofer,"Ron Paul, Tom Woods, Michael Huemer, James C. Scott, Dave Smith, Thaddeus Russell, David Friedman",,,2020,13+,106,min,Documentary,"this is a story of the violence and coercion that underlies our modern societies. most of the time, our interactions are peaceful and consensual, but there is a large notable exception. the state maintains its power and ability to create law by the constant threat of force. it prohibits competition to its authority, and in this sense, represents a monopoly.",2
as533,Movie,The Monkey's Paw,Brett Simmons,"C.J. Thomason, Stephen Lang, Michelle Pierce",,,2013,16+,88,min,"Horror, Suspense","jake is given a mystical monkey's paw that grants three wishes, but things go terribly wrong when he brings his friend back from the dead.",19
as534,Movie,The Missing Lynx,"Manuel Sicilia, Raul Garcia","David Robles, Cecilia Santiago, Conchi López",,,2012,PG,102,min,"Action, Animation, Kids",a group of animals look for a way off of an eccentric billionaire's own personal noah's ark.,86
as535,Movie,The Missing Corpse,Albert Herman,"J. Edward Bromberg,  Isabel Randolph,  Frank Jenks,  Eric Sinclair,  Paul Guilfoyle,  Ben Welden",,,1945,13+,78,min,"Comedy, Suspense","a feud between rival newspapermen kruger (bromberg) and mcdonald (guilfoyle) goes deadly when blackmailing mcdonald ends up murdered and his corpse planted in the trunk of kruger's car. good guy kruger attempts to hide mcdonald's body, with the help of chauffeur hogan (jenks), to keep from being charged with murder. however, zany scenarios occur as the body just won't stay hidden, and keeps on popping up in multiple places where kruger is located, leading to him hiding the body again and again while kruger tries to find the real killer.",87
as536,TV Show,The Missing,,,,,2017,TV-14,2,Season,TV Shows,a young woman walks into the town she was abducted from 11 years previously – does she hold the key to the whereabouts of another missing girl?,82
